Part number,RTC Type,Accuracy (+/-ppm),Supply Voltage [Min to Max] (V),Low supply current (uA),Communication Protocol,Baudrate,Capacitive load (uF),Battery Back Up,SRAM,Watchdog Timer,Programmable alarm,Countdown Timer,Tamper input,Number of interrupts,Integrated Temperature Compensation,Operating Temperature (℃),AEC-Q100 compliant,Package type,Package dimensions (mm),Supplier
DS1501S,IC,Ext Crystal,1.8 to 5.5,0.5,Parallel,400,,Yes,No,Yes,Yes,No,No,1,No,-40 to 85,No,TSOP28,,Analog devices
DS1511,IC,20,1.8 to 5.5,0.5,Parallel,400,,Yes,No,Yes,Yes,No,No,1,No,0 to 70,No,DIP28,37.3 x 18.3,Analog devices
DS1337Z,IC,Ext Crystal,4.5 to 5.5,3,I2C,400 kHz,,Yes,No,No,Yes,No,No,2,No,-40 to 85,No,SO8,4.9 x 3.9,Analog devices
DS1337U,IC,Ext Crystal,4.5 to 5.5,3,I2C,400 kHz,,Yes,No,No,Yes,No,No,2,No,-40 to 85,No,TSSOP8,4.9 x 3.9,Analog devices
DS1337CS,IC,20,4.5 to 5.5,3,I2C,400 kHz,,Yes,No,No,Yes,No,No,2,No,-40 to 85,No,SO16,10.3 x 7.5,Analog devices
DS1338Z,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,No,No,No,No,No,No,-40 to 85,No,SO8,4.9 x 3.9,Analog devices
DS1338U,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,No,No,No,No,No,No,-40 to 85,No,TSSOP8,4.9 x 3.9,Analog devices
DS1338CS,IC,20,1.8 to 5.5,0.5,I2C,400,,Yes,No,No,No,No,No,No,No,-40 to 85,No,SO16,10.3 x 7.5,Analog devices
DS1371U,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,Yes,No,No,No,1,No,-40 to 85,No,TSSOP8,3.0 x 3.0,Analog devices
DS1672Z,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,No,No,No,No,No,No,-40 to 85,No,SO8,4.9 x 3.9,Analog devices
DS1672U,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,No,No,No,No,No,No,-40 to 85,No,TSSOP8,4.9 x 3.9,Analog devices
DS1685S,IC,Ext Crystal,1.8 to 3.6,0.3,Parallel,400,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,SO24,,Analog devices
DS1685,IC,Ext Crystal,1.8 to 3.6,0.3,Parallel,400,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,DIP24,,Analog devices
